# Hybrid Glider Plugin Log
# t,x,y,z,p,q,r
10.8,0.372909,0,-4.75469,0,-0.417982,3.14159
10.9,0.37652,0,-4.75237,0,-0.418406,3.14159
11,0.380125,0,-4.75006,0,-0.418786,3.14159
11.1,0.383725,0,-4.74775,0,-0.419123,3.14159
11.2,0.387318,0,-4.74544,0,-0.41942,3.14159
11.3,0.390907,0,-4.74314,0,-0.419678,3.14159
11.4,0.394491,0,-4.74083,0,-0.419897,3.14159
11.5,0.39807,0,-4.73853,0,-0.420081,3.14159
11.6,0.401644,0,-4.73623,0,-0.42023,3.14159
11.7,0.405215,0,-4.73393,0,-0.420347,3.14159
11.8,0.408781,0,-4.73164,0,-0.420431,3.14159
11.9,0.412344,0,-4.72934,0,-0.420486,3.14159
12,0.415904,0,-4.72705,0,-0.420512,3.14159
12.1,0.41946,0,-4.72476,0,-0.42051,3.14159
12.2,0.423014,0,-4.72247,0,-0.420482,3.14159
12.3,0.426565,0,-4.72018,0,-0.42043,3.14159
12.4,0.430113,0,-4.71789,0,-0.420355,3.14159
12.5,0.43366,0,-4.7156,0,-0.420257,3.14159
12.6,0.438918,0,-4.71408,0,-0.419468,3.14159
12.7,0.445666,0,-4.71322,0,-0.416928,3.14159
12.8,0.452009,0,-4.71214,0,-0.412006,3.14159
12.9,0.455618,0,-4.70982,0,-0.405241,3.14159
13,0.459257,0,-4.7075,0,-0.396923,3.14159
13.1,0.462929,0,-4.70516,0,-0.387228,3.14159
13.2,0.466641,0,-4.70281,0,-0.376272,3.14159
13.3,0.470398,0,-4.70045,0,-0.364145,3.14159
13.4,0.474207,0,-4.69808,0,-0.350924,3.14159
13.5,0.478073,0,-4.69569,0,-0.336677,3.14159
13.6,0.482002,0,-4.69328,0,-0.321466,3.14159
13.7,0.486,0,-4.69085,0,-0.305353,3.14159
13.8,0.490074,0,-4.68839,0,-0.288395,3.14159
13.9,0.49423,0,-4.6859,0,-0.270649,3.14159
14,0.498473,0,-4.68338,0,-0.252169,3.14159
14.1,0.502811,0,-4.68083,0,-0.233008,3.14159
14.2,0.507248,0,-4.67823,0,-0.213218,3.14159
