# Hybrid Glider Plugin Log
# t,x,y,z,p,q,r
47.1,6.22721,0,-1.55064,0,0.98919,3.14159
47.2,6.24485,0,-1.52395,0,0.990912,3.14159
47.3,6.26257,0,-1.49692,0,0.9923,3.14159
47.4,6.2804,0,-1.46956,0,0.993363,3.14159
47.5,6.29833,0,-1.44187,0,0.994111,3.14159
47.6,6.31638,0,-1.41386,0,0.994553,3.14159
47.7,6.33455,0,-1.38554,0,0.994697,3.14159
47.8,6.35284,0,-1.35692,0,0.994554,3.14159
47.9,6.37127,0,-1.32799,0,0.994131,3.14159
48,6.38984,0,-1.29878,0,0.993438,3.14159
48.1,6.40856,0,-1.26927,0,0.992485,3.14159
48.2,6.42744,0,-1.23949,0,0.991279,3.14159
48.3,6.44648,0,-1.20944,0,0.98983,3.14159
48.4,6.46569,0,-1.17913,0,0.988147,3.14159
48.5,6.48508,0,-1.14856,0,0.986239,3.14159
48.6,6.50465,0,-1.11774,0,0.984114,3.14159
48.7,6.52441,0,-1.08667,0,0.981781,3.14159
48.8,6.54438,0,-1.05538,0,0.979248,3.14159
48.9,6.56454,0,-1.02386,0,0.976525,3.14159
49,6.58492,0,-0.992124,0,0.97362,3.14159
49.1,6.60551,0,-0.960177,0,0.970541,3.14159
49.2,6.62633,0,-0.928028,0,0.967296,3.14159
49.3,6.64737,0,-0.895685,0,0.963895,3.14159
49.4,6.66865,0,-0.863156,0,0.960344,3.14159
49.5,6.69017,0,-0.830448,0,0.956654,3.14159
49.6,6.71193,0,-0.79757,0,0.95283,3.14159
49.7,6.73394,0,-0.764529,0,0.948883,3.14159
49.8,6.7562,0,-0.731333,0,0.944819,3.14159
49.9,6.77872,0,-0.69799,0,0.940646,3.14159
50,6.80151,0,-0.664507,0,0.936373,3.14159
50.1,6.82456,0,-0.630891,0,0.932006,3.14159
50.2,6.84788,0,-0.597151,0,0.927554,3.14159
50.3,6.87032,0,-0.564817,0,0.922577,3.14159
50.4,6.89207,0,-0.533638,0,0.916378,3.14159
50.5,6.9144,0,-0.50196,0,0.908536,3.14159
50.6,6.93887,0,-0.467873,0,0.899387,3.14159
50.7,6.9637,0,-0.433778,0,0.889107,3.14159
50.8,6.98891,0,-0.399715,0,0.877796,3.14159
50.9,7.01452,0,-0.365721,0,0.865518,3.14159
51,7.04056,0,-0.331833,0,0.85232,3.14159
51.1,7.06704,0,-0.298091,0,0.838238,3.14159
51.2,7.09397,0,-0.264535,0,0.823307,3.14159
51.3,7.12137,0,-0.231207,0,0.807557,3.14159
51.4,7.14925,0,-0.198149,0,0.791015,3.14159
51.5,7.17762,0,-0.165404,0,0.773712,3.14159
51.6,7.20649,0,-0.133015,0,0.755673,3.14159
51.7,7.23584,0,-0.101026,0,0.736927,3.14159
51.8,7.2657,0,-0.0694806,0,0.717499,3.14159
51.9,7.29604,0,-0.0384237,0,0.697418,3.14159
52,7.32687,0,-0.00789866,0,0.676711,3.14159
52.1,7.35818,0,0.0220513,0,0.655404,3.14159
52.2,7.38995,0,0.0513837,0,0.633526,3.14159
52.3,7.42217,0,0.0800573,0,0.611105,3.14159
52.4,7.45482,0,0.108032,0,0.588169,3.14159
52.5,7.48788,0,0.13527,0,0.564748,3.14159
52.6,7.52132,0,0.161733,0,0.540871,3.14159
52.7,7.55512,0,0.187389,0,0.516569,3.14159
52.8,7.58925,0,0.212204,0,0.491872,3.14159
52.9,7.62368,0,0.23615,0,0.466811,3.14159
53,7.65837,0,0.259199,0,0.44142,3.14159
53.1,7.69329,0,0.281328,0,0.415729,3.14159
53.2,7.72841,0,0.302516,0,0.389773,3.14159
53.3,7.76367,0,0.322746,0,0.363585,3.14159
53.4,7.79905,0,0.342004,0,0.337198,3.14159
53.5,7.8345,0,0.36028,0,0.310646,3.14159
53.6,7.86998,0,0.377566,0,0.283965,3.14159
53.7,7.90545,0,0.39386,0,0.257188,3.14159
53.8,7.94087,0,0.40916,0,0.23035,3.14159
53.9,7.9762,0,0.42347,0,0.203485,3.14159
54,8.01139,0,0.436797,0,0.176628,3.14159
54.1,8.04642,0,0.44915,0,0.149813,3.14159
54.2,8.08124,0,0.460543,0,0.123074,3.14159
54.3,8.11581,0,0.470991,0,0.0964446,3.14159
54.4,8.15011,0,0.480512,0,0.0699566,3.14159
54.5,8.18409,0,0.489127,0,0.0436425,3.14159
54.6,8.21773,0,0.496859,0,0.0175338,3.14159
54.7,8.25101,0,0.503733,0,-0.0083392,3.14159
54.8,8.28388,0,0.509776,0,-0.0339469,3.14159
54.9,8.31633,0,0.515015,0,-0.0592608,3.14159
55,8.34834,0,0.519481,0,-0.0842536,3.14159
55.1,8.37989,0,0.523203,0,-0.108899,3.14159
55.2,8.41096,0,0.526213,0,-0.133172,3.14159
55.3,8.44154,0,0.528543,0,-0.15705,3.14159
55.4,8.47162,0,0.530224,0,-0.180509,3.14159
55.5,8.50118,0,0.531289,0,-0.203529,3.14159
55.6,8.53022,0,0.531769,0,-0.226091,3.14159
55.7,8.55873,0,0.531696,0,-0.248176,3.14159
55.8,8.58672,0,0.531101,0,-0.269768,3.14159
55.9,8.61417,0,0.530016,0,-0.290852,3.14159
56,8.64109,0,0.52847,0,-0.311414,3.14159
56.1,8.66748,0,0.526492,0,-0.331442,3.14159
56.2,8.69335,0,0.52411,0,-0.350926,3.14159
56.3,8.7187,0,0.521352,0,-0.369856,3.14159
56.4,8.74353,0,0.518245,0,-0.388224,3.14159
56.5,8.76786,0,0.514813,0,-0.406023,3.14159
56.6,8.79169,0,0.51108,0,-0.423248,3.14159
56.7,8.81503,0,0.507069,0,-0.439896,3.14159
56.8,8.83789,0,0.502803,0,-0.455964,3.14159
56.9,8.86028,0,0.498302,0,-0.471449,3.14159
57,8.88222,0,0.493586,0,-0.486353,3.14159
57.1,8.90371,0,0.488672,0,-0.500674,3.14159
57.2,8.92477,0,0.483579,0,-0.514416,3.14159
57.3,8.9454,0,0.478323,0,-0.52758,3.14159
57.4,8.96563,0,0.47292,0,-0.540171,3.14159
57.5,8.98546,0,0.467382,0,-0.552192,3.14159
57.6,9.00491,0,0.461725,0,-0.56365,3.14159
57.7,9.02398,0,0.455961,0,-0.574549,3.14159
57.8,9.0427,0,0.4501,0,-0.584898,3.14159
57.9,9.06108,0,0.444155,0,-0.594703,3.14159
58,9.07912,0,0.438135,0,-0.603973,3.14159
58.1,9.09683,0,0.43205,0,-0.612715,3.14159
58.2,9.11424,0,0.425908,0,-0.62094,3.14159
58.3,9.13136,0,0.419718,0,-0.628656,3.14159
58.4,9.14819,0,0.413486,0,-0.635874,3.14159
58.5,9.16474,0,0.407221,0,-0.642604,3.14159
58.6,9.18103,0,0.400928,0,-0.648857,3.14159
58.7,9.19707,0,0.394612,0,-0.654642,3.14159
58.8,9.21287,0,0.388281,0,-0.659973,3.14159
58.9,9.22844,0,0.381938,0,-0.66486,3.14159
59,9.24378,0,0.375589,0,-0.669314,3.14159
59.1,9.25892,0,0.369238,0,-0.673348,3.14159
59.2,9.27385,0,0.362888,0,-0.676974,3.14159
59.3,9.28859,0,0.356544,0,-0.680202,3.14159
59.4,9.30315,0,0.350208,0,-0.683046,3.14159
59.5,9.31753,0,0.343885,0,-0.685517,3.14159
59.6,9.33174,0,0.337576,0,-0.687627,3.14159
59.7,9.3458,0,0.331285,0,-0.689389,3.14159
59.8,9.3597,0,0.325015,0,-0.690814,3.14159
59.9,9.37346,0,0.318766,0,-0.691914,3.14159
60,9.38708,0,0.312543,0,-0.692702,3.14159
60.1,9.40057,0,0.306346,0,-0.693189,3.14159
60.2,9.41394,0,0.300177,0,-0.693386,3.14159
60.3,9.42719,0,0.294039,0,-0.693306,3.14159
60.4,9.44033,0,0.287932,0,-0.692959,3.14159
60.5,9.45337,0,0.281859,0,-0.692358,3.14159
60.6,9.46631,0,0.27582,0,-0.691512,3.14159
60.7,9.47915,0,0.269818,0,-0.690434,3.14159
60.8,9.4919,0,0.263852,0,-0.689135,3.14159
